variable,coefficient,p_value,odds_ratio
const,-0.9346503696205245,3.6215431637634027e-07,0.3927231494745809
question_length,0.0014469616885230644,0.13723810386225574,1.0014480090426867
has_negation,-0.19065001470701365,0.2488983466285838,0.8264217730093754
has_numerical,0.4370340915715731,0.0006512509447900879,1.548108853620503
option_similarity,1.383742382339297,1.023053686272403e-08,3.98980509899608
has_misleading_premise,0.06303627050622926,0.7429861709739105,1.0650654689944685
domain_category_Professional/Other,-0.026651854296778733,0.8558334885078357,0.973700172053436
domain_category_STEM,-0.28201312680647883,0.06041892475577626,0.7542637833933853
domain_category_Social Sciences,-0.12982565558544462,0.4409624673482573,0.8782485353004479
model_qwen-2.5-3b,-0.49523788298318644,2.9239283353342275e-07,0.6094259179963453
